"word","count"
"exception","2"
"cancel","2"
"Delete","4"
"Ramas","1"
"reuse","1"
"functions","1"
"upload","1"
"Memory","1"
"your","1"
"isExpertClean","1"
"branch","4"
"without","1"
"setting","2"
"properly","1"
"these","15"
"Sure","1"
"DFU","1"
"Pass","2"
"would","1"
"xml","4"
"understanding","4"
"because","4"
"moving","1"
"assigning","1"
"ProgressReportProcessorTestkt","1"
"onBackPressed","1"
"topFragment","1"
"upgrade","5"
"Implement","1"
"SCANERROR","1"
"appStateOrionKilledToBackground","1"
"triggers","1"
"analysis","1"
"version","8"
"click","2"
"lint","1"
"contains","3"
"folder","3"
"charger","1"
"size","4"
"util","2"
"left","1"
"HUNDRED","1"
"unused","8"
"happening","2"
"returns","3"
"UserAgreementLink","1"
"Where","3"
"much","3"
"object","1"
"appropriate","1"
"resetFWUpdateNotificationPreferences","1"
"BH","1"
"Similarly","1"
"I","9"
"utility","2"
"immediately","1"
"M","1"
"example","2"
"The","4"
"result","1"
"As","11"
"same","11"
"BrushHeadListener","1"
"viewgroup","1"
"after","8"
"Based","2"
"resolved","7"
"annotation","1"
"a","45"
"b","1"
"alignments","1"
"loops","1"
"the","203"
"p","1"
"adapterView","1"
"destroyed","1"
"s","1"
"ProductsConfiguration","1"
"Delta","1"
"u","1"
"TestCase","1"
"x","1"
"Foreground","1"
"days","1"
"y","1"
"postCurrentBleStatus","1"
"scout","1"
"Interface","1"
"DB","2"
"register","1"
"discuss","6"
"standard","2"
"Add","5"
"ProductConfiguration","1"
"correct","1"
"moved","4"
"Junit","5"
"resultDate","1"
"Its","4"
"IntegrationShanghai","1"
"good","1"
"empty","1"
"analytics","7"
"getStringResourceInEnglish","1"
"reproduce","1"
"wise","1"
"helper","1"
"Test","3"
"reactnativegesturehandle","1"
"UtilityAppContextgetContext","2"
"isSessionDataPriorThreshold","2"
"others","1"
"add","25"
"Validation","1"
"area","1"
"tracing","1"
"testers","1"
"Dead","4"
"need","17"
"Approved","1"
"its","6"
"check","65"
"Do","15"
"list","3"
"consent","10"
"users","1"
"tests","2"
"getModeValueForAnalytics","1"
"alignment","10"
"getModeValue","1"
"useful","1"
"child","1"
"trust","1"
"private","5"
"OnboardingMyPrivacyFragmentjava","1"
"searching","2"
"UpgradeFileDownloadTaskListener","1"
"PathSelectorFragment","1"
"medium","2"
"compareVersions","1"
"interface","2"
"remove","54"
"fetchFirst","1"
"isLivaBrushingSupported","1"
"skipped","1"
"duplicated","2"
"Refer","1"
"Ex","1"
"Discussed","1"
"getInsuranceName","1"
"intentionally","2"
"flows","1"
"provider","1"
"Mouth","1"
"scope","1"
"corektx","1"
"hard","3"
"lines","11"
"recycler","1"
"TongueClean","1"
"fails","3"
"live","1"
"headers","2"
"Return","1"
"helpText","2"
"ticket","1"
"multiple","3"
"perform","1"
"ACCESSCOARSELOCATION","1"
"Fortify","1"
"expose","1"
"isLivebrushingSupported","1"
"Allow","1"
"better","4"
"with","36"
"TuscanyUtilscheckPrivacyNotice","1"
"Club","1"
"there","14"
"well","3"
"Previous","4"
"handling","2"
"happens","1"
"taking","2"
"HK","1"
"called","5"
"release","2"
"channel","1"
"HP","1"
"ProductRecommendations","1"
"onAnimationEnd","1"
"onOnBoardingQuestionsLoaded","1"
"UPG","1"
"braces","1"
"number","1"
"defect","2"
"RapidClickDetector","2"
"block","3"
"per","2"
"write","3"
"flow","3"
"baseFragmentgetActiveTabFragment","1"
"order","3"
"similar","3"
"getHandleImageSmall","1"
"testing","12"
"understand","3"
"IS","1"
"handle","8"
"confirmation","1"
"Json","2"
"script","1"
"rawSensorPacketListener","1"
"Just","2"
"ever","1"
"onDateSelectListener","1"
"connector","1"
"SonicareConsentManagerjava","1"
"integration","5"
"Bits","1"
"Callisto","1"
"FeatureProvider","1"
"If","19"
"Rinse","1"
"solutionJsonString","1"
"other","11"
"In","2"
"Is","8"
"It","10"
"functionality","3"
"login","3"
"optimise","3"
"URL","1"
"local","3"
"valid","2"
"native","1"
"updateUiState","1"
"Redundant","1"
"have","16"
"TYuscanyUtils","1"
"Dental","1"
"Reformat","1"
"accordingly","3"
"product","4"
"reminder","1"
"NUMITEMS","1"
"InvalidChargerInfoFragment","1"
"discussed","4"
"Text","2"
"Default","1"
"proceedLogoutSuccess","1"
"Wrong","2"
"removed","20"
"future","3"
"disable","1"
"stored","1"
"logic","20"
"SuppressWarningsdeprecation","1"
"All","2"
"TICS","1"
"DRS","1"
"arrow","1"
"UTF","17"
"DateFormatMEDIUM","1"
"screen","5"
"Rather","1"
"lets","1"
"body","1"
"reactivex","1"
"mode","2"
"onStart","1"
"optimize","1"
"etc","2"
"whether","4"
"Disabling","1"
"function","11"
"implemented","1"
"modified","2"
"Plus","1"
"verification","1"
"all","36"
"always","1"
"new","6"
"MO","3"
"read","1"
"comparison","1"
"already","6"
"below","8"
"toLowerCase","1"
"applicable","2"
"revert","8"
"ClickableSpan","1"
"Jenkins","1"
"conflicting","1"
"condition","19"
"Functionality","1"
"naming","1"
"try","1"
"grater","1"
"cause","2"
"respective","1"
"Any","2"
"Format","3"
"similarly","1"
"and","78"
"intended","1"
"OE","5"
"design","2"
"define","1"
"working","3"
"OK","1"
"commented","13"
"possibility","2"
"Optimize","4"
"Invalid","2"
"declared","1"
"No","2186"
"comments","10"
"buttons","1"
"Refactor","1"
"specific","1"
"any","9"
"intuitive","1"
"Analytics","1"
"arrayxml","1"
"suggested","2"
"ScrollView","1"
"application","1"
"stable","1"
"Alarm","2"
"Looks","2"
"TuscanyConstants","9"
"until","2"
"renamed","1"
"PO","1"
"plz","4"
"teaser","1"
"On","1"
"App","1"
"reason","1"
"PR","6"
"supportScanFilter","1"
"java","2"
"tagged","1"
"Validate","1"
"merge","4"
"english","1"
"let","1"
"api","4"
"state","3"
"defined","2"
"app","8"
"merging","4"
"using","8"
"Utiljava","1"
"Readability","3"
"expected","2"
"want","2"
"readablility","1"
"Make","6"
"momentTimeStamp","1"
"Code","10"
"demand","2"
"Tuscany","2"
"Onboarding","1"
"RC","3"
"Are","1"
"creating","2"
"difference","1"
"complexity","1"
"Started","1"
"OSLO","3"
"Should","2"
"another","2"
"document","1"
"automatically","1"
"guarantee","1"
"recommend","1"
"giving","1"
"two","4"
"matching","2"
"anyway","1"
"SD","1"
"BLEConnectionActivitythis","1"
"default","1"
"found","1"
"oslo","2"
"are","29"
"scenario","5"
"does","4"
"Ask","1"
"came","1"
"IsValidRingID","1"
"where","7"
"disabled","1"
"attach","2"
"mechanism","1"
"gives","1"
"latest","7"
"getApplication","1"
"think","6"
"enableConsent","1"
"refresh","1"
"Clarification","1"
"holder","1"
"team","2"
"suppress","7"
"Suppress","1"
"call","13"
"gradle","1"
"such","4"
"valuesitstringsxml","1"
"So","6"
"thing","1"
"Other","3"
"supported","3"
"through","1"
"Tongue","1"
"TW","1"
"dimen","1"
"lib","3"
"Once","1"
"cant","1"
"run","1"
"align","2"
"Manager","1"
"lifecycle","1"
"view","2"
